ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Coal,Coal,EPR ASHOK OC,(Ministry of Coal),54,Jharkhand,05/2021,05/2021,03/2031,,2898.28,2898.28,185.19,28.85,0.0,2026-04
Ministry of Power,Coal,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,(Power Grid Corporation of India Limited [POWERGRID]),247,Rajasthan,10/2023,10/2023,04/2025,06/2026,1910.0,1910.0,1851.81,98.33,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Tumkur - Nelamangala 6L,(National Highways Authority of India [NHAI]),1217,Karnataka,03/2021,08/2022,08/2025,03/2027,2032.15,1664.2,580.01,59.83,-18.10643899318456,2026-04
Ministry of Housing & Urban Affairs,Construction,Ahmedabad Metro Rail Project [Phase-I],(Gujarat Metro Rail Corporation Limited [GMRCL]),267,Gujarat,11/2014,02/2015,03/2018,05/2026,10773.0,12924.5,12520.65,99.99,19.971224357189268,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Sardar Sarovar CADWM Project,"(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)",1948,Gujarat,04/2017,04/2017,12/2019,03/2026,5021.76,6670.31,4956.98,90.3,32.82813196966801,2026-04
Ministry of Coal,Coal,BASUNDHARA WEST EXTENSION OPEN,(MCL - CIL),118,Odisha,05/2014,05/2014,03/2019,03/2029,479.15,479.15,281.57,67.58,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Saryu Nahar CADWM Project,(Irrigation & Water Resources-UP),1978,Uttar Pradesh,04/2017,04/2017,12/2019,03/2026,1672.7,1672.7,22.24,1.76,0.0,2026-04
Ministry of Coal,Coal,Ghatampur Thermal Power Plant 3 X 660 MW,(NLC India Limited [NLCIL]),152,Uttar Pradesh,07/2016,08/2016,11/2020,03/2026,17237.8,21780.9,21237.52,95.68,26.35545139170893,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Jigaon Irrigation Project,(Department of water resources-MH - II),1959,Maharashtra,04/2017,04/2018,06/2028,,7222.95,7222.95,10516.63,92.0,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project,(Department of water resources-MH - II),1958,Maharashtra,04/2017,04/2018,06/2020,06/2026,848.07,888.43,690.49,69.63,4.759041116888924,2026-04
Ministry of Labour and Employment,Healthcare,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST] ESIC Hospital at Bibewadi, Pune",(Employee's State Insurance Company [ESIC]),486,Maharashtra,05/2018,03/2023,09/2025,08/2026,429.25,429.25,341.9,78.0,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Urmodi Irrigation Project,(Department of water resources-MH - II),1956,Maharashtra,04/2017,04/2018,06/2022,12/2026,580.79,895.81,713.46,76.22,54.23991459908056,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Omkareshwar CADWM Project,(Water resource-mp),1952,Madhya Pradesh,04/2017,04/2017,12/2019,06/2027,648.09,648.09,208.06,49.78,0.0,2026-04
Ministry of Coal,Coal,SIDULI [OC & UG],(ECL - CIL),135,West Bengal,05/2018,05/2018,03/2027,03/2030,535.18,535.17,5.74,14.61,-0.0018685302141318,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Sulwade-Jamphal-Kanoli Lift Irrigation Scheme,(Department of water resources-MH - II),1957,Maharashtra,04/2017,02/2019,06/2023,06/2027,2407.67,2407.67,2779.38,80.54,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Gosikhurd CADWM Project,(Department of water resources-MH - II),1955,Maharashtra,04/2017,04/2017,12/2019,06/2026,743.73,743.73,459.06,53.93,0.0,2026-04
Ministry of Road Transport & Highways,Roads & Highways,Guwahati Ring Road in the State of Assam,(National Highways Authority of India [NHAI]),930,Assam,08/2024,01/2026,01/2030,01/2030,5729.47,5729.47,3.49,0.0,0.0,2026-05
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa Airport Terminal Building Extension Project,(Airport Authority of India [AAI]),8,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,158.78,100.0,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Jaynagar-Narahia Section km 156.500 to km 219.945 Lot-III,(MoRTH),945,Bihar,02/2016,05/2016,11/2018,07/2026,553.3,706.39,0.0,99.0,27.66853424905116,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E,(MoRTH),822,Andhra Pradesh,08/2020,03/2021,03/2023,03/2024,222.61,222.61,122.52,100.0,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.,(MoRTH),797,Andhra Pradesh,03/2023,02/2024,11/2025,,242.0,242.0,78.49,95.94,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Chakur Loha Section of NH-361 from km 114.600 to km 187.80,(National Highways Authority of India [NHAI]),1398,Maharashtra,03/2018,03/2019,03/2021,02/2024,1241.38,3342.11,785.13,100.0,169.2253782081232,2026-05
Ministry of Power,Coal,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,(Power Grid Corporation of India Limited [POWERGRID]),240,Rajasthan,10/2023,10/2023,04/2025,05/2026,1160.0,1160.0,1136.8,99.33,0.0,2026-05
Ministry of Coal,Coal,RPR MAGADH EXP OCP,(Ministry of Coal),50,Jharkhand,08/2020,08/2020,03/2028,,7254.37,7254.37,1692.65,39.3,0.0,2026-05
Ministry of Petroleum & Natural Gas,Energy Storage,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,(Indian Oil Corporation Limited [IOCL]),406,Maharashtra,08/2022,08/2022,08/2025,06/2026,165.0,165.0,102.79,98.8,0.0,2026-05
Ministry of Coal,Coal,EPR PUNDI OCP,(Ministry of Coal),53,Jharkhand,11/2020,11/2020,03/2027,,713.35,713.35,236.58,10.19,0.0,2026-05
Ministry of Coal,Coal,EPR AMRAPALI OCP,(Ministry of Coal),55,Jharkhand,02/2020,02/2020,03/2028,,5136.15,5136.15,1326.08,43.58,0.0,2026-05
Ministry of Coal,Coal,JHARKHAND-LAIYO OCP,(Ministry of Coal),58,Jharkhand,08/2020,08/2020,03/2031,,764.57,764.57,145.81,29.39,0.0,2026-05
Ministry of Petroleum & Natural Gas,Energy Storage,HP TDAE Unit in Mumbai Refinery,(Hindustan Petroleum Corporation Limited),403,Maharashtra,06/2024,06/2024,04/2026,06/2026,240.0,240.0,152.75,92.0,0.0,2026-05
Ministry of Petroleum & Natural Gas,Energy Storage,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",(Indian Oil Corporation Limited [IOCL]),350,Tripura,06/2022,06/2022,09/2025,06/2026,656.0,656.0,541.81,97.7,0.0,2026-05
Ministry of Health & Family Welfare,Healthcare,"Establishment of new GMC Leh (Medical Education, Ministry of Health and Family Welfare)                                                 NA                                   325 ()                (-)              (325) Establishment of new GMC Rajgarh","(Medical Education, Ministry of Health and Family Welfare)",468,Madhya Pradesh,12/2021,11/2022,04/2024,,325.0,325.0,179.0,84.0,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Sitamarhi-Jaynagar Section km 79.400 to km 156.500 Lot-II,(MoRTH),944,Bihar,02/2016,06/2016,12/2018,07/2026,369.77,503.28,0.0,98.78,36.10622819590556,2026-05
Ministry of Coal,Coal,NORTH URIMARI EXPANSION OCP,(Ministry of Coal),51,Jharkhand,07/2021,07/2021,03/2029,,778.8,778.8,606.01,68.75,0.0,2026-05
Ministry of Coal,Coal,EPR ROHINI - KARKETTA OCP,(Ministry of Coal),52,Jharkhand,01/2021,01/2021,03/2028,,1020.42,1020.42,85.34,22.54,0.0,2026-05
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,(National Industrial Corridor Development Corporation),498,Uttar Pradesh,12/2020,11/2026,03/2030,,1480.0,1480.0,0.0,0.0,0.0,2026-05
Ministry of Power,Coal,Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),183,Andhra Pradesh,03/2025,03/2025,12/2027,,2886.0,2886.0,721.5,29.34,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Bemetara Bypass NH 30,(MoRTH),1004,Chhattisgarh,01/2024,04/2025,04/2027,04/2027,161.96,161.96,0.0,37.0,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Dornala to Kunta Junction from Design Chainage Km 244000 to 267990 section of NH-765 Package-2,(MoRTH),803,Andhra Pradesh,12/2022,03/2024,09/2025,01/2026,244.83,244.83,0.0,99.64,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Indore - Harda Pkg-III [Nanasa to Pidgaon Section from km 95.000 to km 142.445],(National Highways Authority of India [NHAI]),1310,Madhya Pradesh,01/2020,10/2021,10/2023,06/2026,1146.22,1240.64,626.02,98.21,8.23751112351905,2026-05
Ministry of Railways,Railways,Petlad Bhadran 23 Kms,(Western Railway),578,Gujarat,05/2022,05/2022,05/2030,05/2030,307.11,307.11,18.9,17.0,0.0,2026-05
Ministry of Steel,Metals & Mining,Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),516,Jharkhand,08/2023,10/2023,07/2025,05/2026,513.82,513.82,412.95,98.72,0.0,2026-05
Ministry of Railways,Railways,GOOTY-PENDEKALLU DOUBLING 29.225 Km,(South Central Railway [SCR] - II),527,Andhra Pradesh,03/2023,06/2023,03/2027,03/2027,351.83,351.83,347.98,3.04,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Aunta - Simaria including Ganga Bridge,(National Highways Authority of India [NHAI]),976,Bihar,01/2017,08/2018,02/2022,04/2026,1309.47,2107.68,812.81,100.0,60.95672294897935,2026-05
Ministry of Railways,Railways,Jeypore-Malkanagiri New Railway Line Project,(East Coast Railway [ECoR] - II),733,Odisha,02/2018,12/2023,07/2033,07/2033,2344.0,2344.0,549.72,7.5,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Hospet - Chitradurga from km. 299.00 to km. 418.750,(National Highways Authority of India [NHAI]),1237,Karnataka,03/2015,02/2016,08/2018,06/2026,1519.72,387.48,36.7,100.0,-74.50319795751848,2026-05
Ministry of Railways,Railways,Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway,(East Central Railway [ECR] - I),596,Jharkhand,11/2022,11/2022,12/2025,03/2026,349.22,349.22,145.57,72.0,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Khammam-Devarapalle Pkg IV [4L Access Controlled Greenfield from Recherla village to Gurvaygudem village Design Chainage 105236 to 132664],(National Highways Authority of India [NHAI]),845,Andhra Pradesh,11/2020,09/2022,09/2024,05/2025,569.37,752.02,355.88,100.0,32.0793157349351,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Loha-Waranga Section of NH-361 from km 187.800 to km 244.369,(National Highways Authority of India [NHAI]),1399,Maharashtra,03/2018,03/2019,03/2021,12/2026,1236.08,3466.58,900.78,96.22,180.44948547019607,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Tuticorin - Tirunelveli from km. 0.00 to km. 47.250,(National Highways Authority of India [NHAI]),1697,Tamil Nadu,11/2009,04/2010,04/2012,,449.85,452.48,1.17,100.0,0.5846393242191831,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,(National Highways Authority of India [NHAI]),1701,Tamil Nadu,12/2006,01/2008,07/2010,06/2026,1003.11,435.81,9.74,100.0,-56.5541166970721,2026-05
Ministry of Railways,Railways,Madurai- Tuticorin New Line,(Ministry of Railways),756,Tamil Nadu,04/2011,09/2016,07/2021,01/2031,601.43,2084.48,351.21,14.0,246.5873002676954,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Pen to Khopoli 2LPS,(MoRTH),1350,Maharashtra,03/2018,06/2018,12/2019,12/2025,369.39,369.39,330.37,86.3,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Ara Bypass,(National Highways Authority of India [NHAI]),972,Bihar,03/2025,10/2025,04/2027,04/2027,226.32,226.32,4.48,21.03,0.0,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,(National Highways Authority of India [NHAI]),829,Andhra Pradesh,01/2020,07/2021,01/2024,06/2026,1194.57,1757.82,862.59,99.92,47.15085763077928,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68,(National Highways Authority of India [NHAI]),1707,Tamil Nadu,12/2006,01/2008,01/2011,06/2026,861.23,1019.85,140.31,100.0,18.417844246020227,2026-05
Ministry of Road Transport & Highways,Roads & Highways,Rajiv Bhima Lift Irrigation Scheme,(Irrigation and CAD-TG),1844,Telangana,04/2007,01/2008,12/2019,03/2026,1402.0,2509.66,1839.76,100.0,79.00570613409414,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Morna [Gureghar] Irrigation Project,"(Department of Water Resources, River Development & GR)",1845,Uttar Pradesh,04/2007,12/2007,12/2025,,219.9,219.9,115.2,31.5,0.0,2026-06
Ministry of Road Transport & Highways,Roads & Highways,DL/UP Border - EPE Crossing Pkg-02,(NHAI),1710,Uttar Pradesh,09/2020,05/2021,11/2023,07/2026,2002.79,1889.78,1739.68,100.0,-5.642628533196191,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Mahabalipuram - Pondicherry Pkg-I [Mamallapuram to Mugaiyur],(NHAI),1595,Tamil Nadu,02/2019,05/2022,05/2024,01/2027,1360.54,1477.94,897.36,58.65,8.628926749672932,2026-06
Ministry of Railways,Railways,Koraput - Singapur Railway Doubling,(East Coast Railway [ECoR] - II),715,Odisha,12/2015,12/2015,12/2027,03/2028,2362.0,2362.0,2007.83,67.67,0.0,2026-06
Ministry of Railways,Railways,Kazipet Wagon Overhauling Project,(RVNL),743,Telangana,09/2017,07/2017,12/2023,,385.0,385.0,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Manoharabad-Kothapalli New Rail Line [151 km],(South Central Railway [SCR] - II),744,Telangana,07/2016,01/2017,03/2027,12/2027,1160.0,2781.0,3073.41,72.02,139.74137931034485,2026-06
Ministry of Railways,Railways,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar,(North Eastern Railway [NER]),745,Uttar Pradesh,10/2018,03/2017,10/2030,10/2030,4939.78,4939.78,1086.23,13.1,0.0,2026-06
Ministry of Railways,Railways,Doubling between Bhadrachalam Road and Dornakal,(South Central Railway [SCR] - II),741,Telangana,08/2023,04/2025,04/2029,,770.12,770.12,87.94,0.06,0.0,2026-06
Ministry of Railways,Railways,Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new Rail-cum-Road Bridge across Ganga River.,(Northern Railways),747,Uttar Pradesh,10/2024,10/2025,10/2029,,2464.46,2464.46,96.98,3.93,0.0,2026-06
Ministry of Railways,Railways,Chunar-Chopan doubling project,(North Central Railway),749,Uttar Pradesh,08/2023,01/2025,03/2028,,1423.96,1423.96,151.57,18.5,0.0,2026-06
Ministry of Railways,Railways,Doubling between Jaunpur Jn - Zaffarabad 6.28 km,(M/S SRC company Infra Private Limited),751,Uttar Pradesh,03/2023,02/2025,01/2027,,180.66,180.66,65.54,27.55,0.0,2026-06
Ministry of Railways,Railways,Khurda-Bolangir New Broad Gauge Rail Link [301km],(East Coast Railway [ECoR] - II),712,Odisha,03/1994,03/2001,12/2026,12/2026,3792.0,5089.0,5789.53,92.5,34.20358649789029,2026-06
Ministry of Railways,Railways,Janghai-Pratapgarh- Amethi,(CAO/C/II/NR),753,Uttar Pradesh,11/2017,03/2017,03/2025,03/2026,722.0,1194.0,1729.27,70.0,65.37396121883657,2026-06
Ministry of Railways,Railways,Lalitpur-Birari with flyover at Lalitpur- 16 Km,(North Central Railway),754,Uttar Pradesh,03/2017,11/2017,12/2024,01/2026,304.44,356.0,283.67,86.0,16.93601366443306,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Kagvadar - Una Package-IV,(NHAI),1018,Gujarat,02/2016,03/2017,09/2019,07/2026,750.53,955.78,833.12,97.93,27.34734121221004,2026-06
Ministry of Railways,Railways,Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project,(North Central Railway),755,Uttar Pradesh,04/2019,10/2020,03/2026,03/2026,494.0,494.0,410.3,80.0,0.0,2026-06
Ministry of Railways,Railways,Sahjanwa-Dohrighat,(North Eastern Railway [NER]),746,Uttar Pradesh,08/2019,03/2017,03/2029,03/2029,1319.75,1319.75,544.89,4.2,0.0,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,(NHAI),998,Gujarat,09/2020,11/2021,11/2023,04/2026,1263.38,1266.98,934.98,100.0,0.2849498963098916,2026-06
Ministry of Railways,Railways,Guntur-Guntakal Doubling Project,(South Central Railway [SCR] - II),526,Andhra Pradesh,03/2017,11/2017,12/2025,12/2026,3733.0,4295.0,5552.65,94.05,15.054915617465843,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Upgrading of NH-707 OLD 72-B Package - 2 Hewna to Ashyari,(MoRTH),1031,Himachal Pradesh,04/2020,03/2021,03/2023,12/2025,242.8,220.95,145.49,98.38,-8.999176276771014,2026-06
Ministry of Railways,Railways,Anandnagar - Ghugli via Maharajganj New line 52.7 km,(Construction NER),748,Uttar Pradesh,10/2023,11/2023,03/2028,,958.27,958.27,640.17,24.0,0.0,2026-06
Ministry of Railways,Railways,Nidadavolu-Duvvada 3rd & 4th Lines,(South Central Railway [SCR] - II),523,Andhra Pradesh,04/2026,04/2026,01/2032,,9889.24,9889.24,0.0,0.01,0.0,2026-06
Ministry of Railways,Railways,Talcher-Bimlagarh New Railway Line,(East Coast Railway [ECoR] - II),713,Odisha,03/2004,12/2004,03/2025,03/2029,1928.0,1928.0,2127.3,57.0,0.0,2026-06
Ministry of Railways,Railways,Kotapalli - Narasapur New Line,(South Central Railway [SCR] - II),525,Andhra Pradesh,03/2009,09/2013,03/2028,03/2028,2501.0,2501.0,1417.7,30.02,0.0,2026-06
Ministry of Railways,Railways,Vijaywada-Gudur 3rd Line,(RVNL - II),527,Andhra Pradesh,08/2016,04/2018,11/2024,03/2026,6654.0,6654.0,6213.64,96.0,0.0,2026-06
Ministry of Railways,Railways,Furkating-New Tinsukia[194 Km],(Northeast Frontier Railway [NFR]),528,Assam,09/2025,09/2025,06/2029,,3633.58,3633.58,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,(Northeast Frontier Railway [NFR]),529,Assam,09/2016,09/2016,03/2026,03/2026,4060.0,4961.0,3831.06,95.16,22.192118226600986,2026-06
Ministry of Railways,Railways,Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh,(Central Organisation for Railway Electrification [CORE]),530,Assam,09/2020,09/2018,09/2020,06/2024,890.36,889.36,391.73,89.0,-0.1123141201311829,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,(NHAI),951,Bihar,12/2015,06/2017,12/2019,07/2026,1182.94,1898.84,1797.43,99.95,60.51870762676042,2026-06
Ministry of Railways,Railways,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project",(GM/C/ NFR),531,Assam,09/2018,01/2022,05/2024,,183.99,183.99,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line,(East Central Railway [ECR] - I),533,Bihar,12/2023,08/1997,12/2024,03/2027,735.2,735.2,589.37,84.2,0.0,2026-06
Ministry of Railways,Railways,Construction of Bulb line at Nabinagar Ankorah of East Central Railway,(East Central Railway [ECR] - I),534,Bihar,06/2024,06/2024,06/2028,,611.74,611.74,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Khagaria-Kusheshwar Asthan [42Km] new line project,(East Central Railway [ECR] - I),536,Bihar,04/2019,12/1998,12/2024,03/2027,614.0,1384.16,491.56,55.7,125.43322475570034,2026-06
Ministry of Railways,Railways,Nadikudi - Srikalahasti New Line,(South Central Railway [SCR] - II),516,Andhra Pradesh,03/2012,12/2016,05/2027,03/2028,2312.0,5932.0,3119.31,55.02,156.5743944636678,2026-06
Ministry of Railways,Railways,Burhwal Gonda 3rd line,(North Eastern Railway [NER]),752,Uttar Pradesh,11/2017,07/2019,03/2025,05/2026,1016.0,1118.0,1058.77,88.5,10.039370078740156,2026-06
Ministry of Railways,Railways,Jeypore-Navarangpur New Rail Line Project,(East Coast Railway [ECoR] - II),718,Odisha,07/2017,04/2023,07/2028,12/2029,748.0,748.0,15.91,2.13,0.0,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Yekkambi-Haveri,(NHAI),1168,Karnataka,09/2021,03/2022,03/2024,01/2028,309.9,309.9,94.8,24.7,0.0,2026-06
Ministry of Railways,Railways,Bhadrak-Nergundi Third Line,(East Coast Railway [ECoR] - II),714,Odisha,10/2015,04/2015,11/2024,01/2026,1284.0,1284.0,1379.6,95.8,0.0,2026-06
Ministry of Railways,Railways,Harmuty-Murkongselek Branch Line Electrification Project,(GM/C/ NFR),532,Assam,09/2018,01/2022,05/2024,,237.52,237.52,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,"Mughalsarai-Allahabad, 3rd line",(North Central Railway),756,Uttar Pradesh,12/2015,03/2016,12/2026,03/2027,2649.0,2649.44,2024.65,74.0,0.0166100415251058,2026-06
Ministry of Coal,Coal,KOTRE BASANTPUR PACHMO OCP,(Ministry of Coal),47,Jharkhand,08/2020,08/2020,03/2032,,861.06,625.4,456.48,45.78,-27.36859220031124,2026-06
Ministry of Railways,Railways,Sawaimadhopur Bye Pass Line Project,(North Western Railway [NWR]),737,Rajasthan,12/2022,01/2023,03/2026,05/2027,304.0,304.0,93.09,77.0,0.0,2026-06
Ministry of Railways,Railways,SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair Car maintenance cum workshop depot.,(South Eastern Railway - JH),767,West Bengal,03/2024,12/2024,10/2026,,226.87,226.87,86.69,50.0,0.0,2026-06
Ministry of Railways,Railways,Barabanki-Malhaur 3rd & 4th Railway Line Project,(Ministry of Railways),760,Uttar Pradesh,01/2019,04/2017,03/2025,08/2026,407.0,407.0,417.22,78.0,0.0,2026-06
Ministry of Railways,Railways,Joka-BBD Bag new metro project,(RVNL - II),768,West Bengal,03/2010,04/2010,12/2026,12/2029,4835.0,10362.0,5098.73,51.0,114.31230610134438,2026-06
Ministry of Railways,Railways,Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway,(RVNL - II),770,West Bengal,03/2010,03/2010,12/2026,12/2030,2298.0,2734.0,429.56,17.0,18.97302001740644,2026-06
Ministry of Road Transport & Highways,Roads & Highways,"Gudivada Town 2 RoB, and Road improvement NH-165",(MoRTH),775,Andhra Pradesh,03/2022,05/2023,05/2025,03/2027,317.22,317.22,0.0,75.2,0.0,2026-06
Ministry of Railways,Railways,Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km],"(Metro Railway, Kolkata)",769,West Bengal,11/2010,03/2010,08/2026,03/2029,4830.0,4830.0,3350.62,32.2,0.0,2026-06
Ministry of Railways,Railways,Bhatni-Aurnihar with electrification excluding Indara-Mau,(RVNL - I),759,Uttar Pradesh,03/2018,03/2017,12/2024,06/2026,2529.0,2529.46,2171.72,96.7,0.0181890075128523,2026-06
Ministry of Railways,Railways,Bhandai - Flyover for Etawah bound down train- 10 Km,(North Central Railway [NCR] - II),758,Uttar Pradesh,07/2020,04/2021,02/2026,02/2027,250.18,250.18,163.27,9.0,0.0,2026-06
Ministry of Railways,Railways,Construction of Balurghat-Hilli new BG Line,(Northeast Frontier Railway [NFR]),766,West Bengal,12/2010,12/2010,03/2027,03/2027,1209.0,1181.57,518.15,18.0,-2.268817204301081,2026-06
Ministry of Railways,Railways,Tiupati Katpadi 104.39 kms,(South Central Railway [SCR] - II),521,Andhra Pradesh,04/2025,04/2025,03/2029,,1215.56,1215.56,62.2,0.06,0.0,2026-06
Ministry of Coal,Coal,TETARIAKHAR OC,(CCL - CIL),63,Jharkhand,11/2019,11/2019,03/2025,03/2027,243.52,243.52,50.82,30.06,0.0,2026-06
Ministry of Coal,Coal,JARANGDIH EXPN. OCP 1.5 MTY,(CCL - CIL),65,Jharkhand,02/2020,02/2020,03/2029,,414.37,414.37,85.6,32.83,0.0,2026-06
